epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.623,3.06477,2.25575,1.30401,0.45964,0.50677,0.35038,0.09002,2.78006,1.78931,1.19309,0.000661333,0.000661333,0.000661333
2,369.586,2.47656,1.69824,1.04169,0.48766,0.43773,0.37275,0.07814,3.30718,1.71015,1.36458,0.00132768,0.00132768,0.00132768
3,577.893,2.45244,1.68728,1.03395,0.35256,0.4565,0.28427,0.08837,2.3695,1.79607,1.05702,0.00199272,0.00199272,0.00199272
4,783.858,2.40134,1.71127,1.01453,0.39454,0.51112,0.34689,0.10319,2.3315,1.72559,1.04587,0.00199561,0.00199561,0.00199561
5,1059.39,2.34139,1.65694,0.99732,0.56599,0.5464,0.46378,0.14859,2.31915,1.58248,1.04188,0.00199219,0.00199219,0.00199219
6,1339.54,2.2888,1.63554,0.99212,0.48105,0.46013,0.38103,0.11139,2.48394,1.63467,1.08808,0.00198781,0.00198781,0.00198781
7,1491.22,2.2635,1.60481,0.97715,0.56679,0.59328,0.48717,0.1601,2.15849,1.56052,0.99629,0.00198246,0.00198246,0.00198246
8,1712.93,2.23985,1.57974,0.97897,0.47867,0.54398,0.41147,0.12808,2.21839,1.69223,1.0165,0.00197616,0.00197616,0.00197616
9,1984.88,2.24206,1.60166,0.9811,0.58841,0.55075,0.49791,0.16461,2.11038,1.5752,0.98326,0.0019689,0.0019689,0.0019689
10,2186.64,2.22451,1.5797,0.96799,0.59602,0.58362,0.52562,0.17308,2.17159,1.53077,1.00159,0.00196069,0.00196069,0.00196069
11,2325.79,2.19009,1.56095,0.96381,0.65424,0.6073,0.56022,0.17781,2.27977,1.47591,1.02845,0.00195155,0.00195155,0.00195155
12,2546.72,2.24966,1.57427,0.97124,0.54371,0.52207,0.45324,0.14345,2.24153,1.5914,1.02285,0.00194147,0.00194147,0.00194147
13,2748.68,2.18718,1.56268,0.97371,0.56566,0.55456,0.49077,0.16218,2.08571,1.57224,0.97705,0.00193048,0.00193048,0.00193048
14,3027.42,2.18058,1.54946,0.95008,0.56634,0.51595,0.44972,0.14609,2.07366,1.59234,0.97565,0.00191858,0.00191858,0.00191858
15,3255.26,2.19105,1.57686,0.96892,0.51902,0.48765,0.42323,0.12458,2.28172,1.61275,1.02056,0.00190578,0.00190578,0.00190578
16,3454.42,2.22496,1.57846,0.96567,0.50185,0.51643,0.42372,0.13652,2.09626,1.62129,0.97984,0.0018921,0.0018921,0.0018921
17,3657.66,2.1659,1.53923,0.94514,0.65438,0.57588,0.54062,0.18308,2.13831,1.5085,0.99414,0.00187754,0.00187754,0.00187754
18,3897.46,2.19434,1.56171,0.97236,0.55778,0.52006,0.45582,0.14301,2.20098,1.65366,1.00075,0.00186213,0.00186213,0.00186213
19,4005.52,2.29054,1.57298,0.98548,0.62104,0.59932,0.55953,0.18303,2.32579,1.4905,1.03426,0.00184588,0.00184588,0.00184588
20,4134.15,2.14818,1.5819,0.95859,0.53391,0.54809,0.45901,0.15199,2.06337,1.5961,0.97383,0.00182881,0.00182881,0.00182881
21,4361.57,2.13122,1.56114,0.95476,0.5526,0.5493,0.48034,0.15821,2.14506,1.57674,0.99207,0.00181093,0.00181093,0.00181093
22,4588,2.11402,1.52829,0.94368,0.59105,0.5319,0.48928,0.16796,2.04654,1.58104,0.96973,0.00179225,0.00179225,0.00179225
23,4828.65,2.09999,1.55462,0.95045,0.65784,0.558,0.53406,0.18017,2.11455,1.50017,0.98357,0.00177281,0.00177281,0.00177281
24,5092.47,2.10329,1.50703,0.93729,0.63623,0.55539,0.50754,0.17015,2.0955,1.54671,0.97977,0.00175261,0.00175261,0.00175261
25,5239.03,2.10379,1.53037,0.9469,0.64697,0.58337,0.52363,0.1716,2.04777,1.54745,0.96541,0.00173168,0.00173168,0.00173168
26,5493.16,2.06664,1.52287,0.94517,0.60767,0.53577,0.50822,0.17181,2.18653,1.52105,1.00201,0.00171004,0.00171004,0.00171004
27,5687.17,2.08746,1.52141,0.93377,0.60827,0.54471,0.49716,0.16724,2.01737,1.55378,0.96587,0.0016877,0.0016877,0.0016877
28,5947.69,2.07926,1.5169,0.94466,0.64564,0.57504,0.53405,0.18505,2.0282,1.52078,0.96332,0.0016647,0.0016647,0.0016647
29,6210.95,2.08626,1.51557,0.94172,0.63735,0.58893,0.55557,0.18747,2.05071,1.48653,0.96892,0.00164105,0.00164105,0.00164105
30,6406.88,2.09622,1.51502,0.93221,0.64443,0.56452,0.53413,0.18634,1.98861,1.52492,0.95856,0.00161678,0.00161678,0.00161678
31,6618.64,2.04884,1.52568,0.9417,0.6248,0.57668,0.53095,0.17848,2.10412,1.50304,0.985,0.00159191,0.00159191,0.00159191
32,6813.56,2.04804,1.49852,0.93516,0.67289,0.58311,0.56691,0.19599,2.0424,1.45816,0.96843,0.00156646,0.00156646,0.00156646
33,7075.96,2.05644,1.47735,0.9376,0.6521,0.54761,0.52253,0.17947,2.0127,1.51263,0.96334,0.00154047,0.00154047,0.00154047
34,7330.18,2.06075,1.48752,0.93769,0.64753,0.56622,0.54174,0.19028,2.02279,1.49693,0.9632,0.00151395,0.00151395,0.00151395
35,7565.43,2.06035,1.47858,0.93468,0.67808,0.59642,0.55959,0.19215,2.09381,1.46503,0.97759,0.00148694,0.00148694,0.00148694
36,7788.02,2.0374,1.49897,0.93573,0.6776,0.56989,0.55987,0.1871,2.09843,1.46973,0.98357,0.00145945,0.00145945,0.00145945
37,8006.55,2.03107,1.47011,0.9365,0.66405,0.5609,0.56212,0.19942,1.98473,1.48249,0.95847,0.00143152,0.00143152,0.00143152
38,8153.74,2.02601,1.49621,0.93636,0.6747,0.58507,0.55337,0.18998,2.05167,1.46888,0.95941,0.00140318,0.00140318,0.00140318
39,8355.98,2.03656,1.4565,0.93504,0.66383,0.56573,0.54962,0.18339,2.04547,1.48426,0.96112,0.00137444,0.00137444,0.00137444
40,8509.97,2.04128,1.46113,0.92423,0.69735,0.5957,0.5707,0.20266,1.97225,1.46569,0.95734,0.00134535,0.00134535,0.00134535
41,8706.13,2.00613,1.478,0.93485,0.69479,0.58362,0.5787,0.20443,2.04578,1.44535,0.97066,0.00131593,0.00131593,0.00131593
42,8885.4,2.03131,1.46491,0.92882,0.65795,0.55456,0.53219,0.18678,1.95848,1.50012,0.95232,0.0012862,0.0012862,0.0012862
43,9126.09,2.01356,1.47264,0.92225,0.69226,0.5931,0.58296,0.20345,2.07618,1.44305,0.97082,0.0012562,0.0012562,0.0012562
44,9335.88,2.01158,1.47731,0.92515,0.69369,0.57153,0.5606,0.19986,1.97334,1.48349,0.95493,0.00122596,0.00122596,0.00122596
45,9486.88,1.97903,1.45712,0.92274,0.71161,0.59393,0.5843,0.20381,2.02763,1.43037,0.96537,0.00119551,0.00119551,0.00119551
46,9670.46,1.98142,1.44547,0.91921,0.70329,0.60585,0.58667,0.20745,1.97214,1.44541,0.95272,0.00116487,0.00116487,0.00116487
47,9856.73,2.00414,1.44804,0.92368,0.67096,0.59594,0.55536,0.19699,1.98545,1.47596,0.95063,0.00113408,0.00113408,0.00113408
48,10100.4,2.0085,1.45253,0.929,0.6994,0.60536,0.58059,0.20604,1.97986,1.44483,0.95427,0.00110317,0.00110317,0.00110317
49,10285.1,1.98358,1.44824,0.92289,0.6817,0.59038,0.56729,0.19892,1.99809,1.46927,0.95665,0.00107216,0.00107216,0.00107216
50,10476.8,1.9864,1.45063,0.92029,0.66359,0.56249,0.54251,0.18696,1.98713,1.48899,0.9579,0.0010411,0.0010411,0.0010411
51,10685.1,1.95741,1.42349,0.92225,0.70954,0.61261,0.59111,0.20522,2.01078,1.41809,0.95963,0.00101,0.00101,0.00101
52,10944.9,1.9698,1.43666,0.92651,0.69195,0.59981,0.58005,0.20647,1.96,1.45008,0.95242,0.000978903,0.000978903,0.000978903
53,11151.4,1.9536,1.44517,0.92002,0.69522,0.60362,0.57803,0.19833,2.09326,1.43241,0.97864,0.000947837,0.000947837,0.000947837
54,11327.8,1.96498,1.42557,0.91855,0.70136,0.63219,0.59698,0.20632,2.03868,1.41653,0.96551,0.000916833,0.000916833,0.000916833
55,11552.6,1.96162,1.42756,0.91928,0.68016,0.58966,0.57228,0.19897,1.99316,1.43779,0.95453,0.00088592,0.00088592,0.00088592
56,11654.9,1.97567,1.45052,0.92119,0.67478,0.59667,0.5577,0.19227,2.00832,1.45969,0.95838,0.00085513,0.00085513,0.00085513
57,11901.6,1.95724,1.43238,0.91934,0.69605,0.60045,0.58293,0.20676,1.95493,1.45183,0.94613,0.000824492,0.000824492,0.000824492
58,12044.3,1.96227,1.42347,0.91442,0.7057,0.62107,0.59476,0.20914,1.96851,1.42399,0.95145,0.000794038,0.000794038,0.000794038
59,12268.8,1.94432,1.41554,0.92365,0.678,0.58434,0.55979,0.19782,1.97306,1.47272,0.95212,0.000763797,0.000763797,0.000763797
60,12477.2,1.94929,1.42539,0.92565,0.67058,0.58442,0.55658,0.18894,2.05396,1.44446,0.96901,0.000733799,0.000733799,0.000733799
61,12733.4,1.93746,1.43148,0.91952,0.70149,0.60651,0.57781,0.20424,2.02751,1.42084,0.96553,0.000704073,0.000704073,0.000704073
62,12951.6,1.93525,1.39227,0.91502,0.69666,0.59981,0.56917,0.20224,1.9733,1.43729,0.95152,0.000674649,0.000674649,0.000674649
63,13133.8,1.93799,1.38312,0.91158,0.67926,0.60904,0.56782,0.19738,1.98468,1.44876,0.95396,0.000645557,0.000645557,0.000645557
64,13392.4,1.95551,1.39584,0.89925,0.7151,0.61672,0.59674,0.20897,1.953,1.43004,0.94711,0.000616824,0.000616824,0.000616824
65,13622.1,1.91478,1.39335,0.91252,0.71,0.62123,0.59917,0.21047,1.97607,1.40322,0.95448,0.000588479,0.000588479,0.000588479
66,13839.5,1.92658,1.40623,0.91675,0.68935,0.60169,0.56926,0.20078,1.95956,1.43987,0.94867,0.000560549,0.000560549,0.000560549
67,14015.9,1.91101,1.39749,0.91913,0.70414,0.60047,0.59026,0.20731,1.96962,1.42952,0.95029,0.000533064,0.000533064,0.000533064
68,14256.1,1.9181,1.37769,0.9112,0.70639,0.61358,0.59266,0.211,1.97009,1.42168,0.95175,0.000506049,0.000506049,0.000506049
69,14440.1,1.89988,1.36256,0.91433,0.69486,0.61261,0.58155,0.20487,1.97746,1.42192,0.95302,0.000479531,0.000479531,0.000479531
70,14686.1,1.91425,1.38951,0.91667,0.70157,0.60657,0.57885,0.20451,1.97811,1.42695,0.95477,0.000453537,0.000453537,0.000453537
71,14846.9,1.89378,1.37057,0.90736,0.69396,0.60496,0.57445,0.19939,1.996,1.42217,0.95624,0.000428093,0.000428093,0.000428093
72,15018,1.90495,1.3543,0.90952,0.69389,0.60826,0.57929,0.20164,1.9964,1.4205,0.95461,0.000403222,0.000403222,0.000403222
73,15195.2,1.88745,1.36969,0.91174,0.7027,0.59884,0.57825,0.20144,1.97002,1.42821,0.95089,0.00037895,0.00037895,0.00037895
74,15470.4,1.90195,1.34982,0.91129,0.69353,0.61721,0.5896,0.20875,1.98583,1.40771,0.95413,0.000355301,0.000355301,0.000355301
75,15604.6,1.88934,1.33399,0.90259,0.69677,0.61286,0.57589,0.20306,2.01575,1.41192,0.96122,0.000332298,0.000332298,0.000332298
76,15713.9,1.81073,1.33593,0.92139,0.68026,0.60657,0.56644,0.19989,1.98207,1.43737,0.95471,0.000309964,0.000309964,0.000309964
77,15792,1.78047,1.34914,0.92501,0.69596,0.62518,0.58853,0.20678,1.98129,1.40854,0.95242,0.000288321,0.000288321,0.000288321
78,15889.7,1.78128,1.30487,0.91843,0.69562,0.6276,0.58146,0.20273,2.00494,1.40041,0.95776,0.00026739,0.00026739,0.00026739
79,15962.5,1.77569,1.3037,0.92126,0.6874,0.61527,0.57643,0.19977,2.01891,1.40886,0.96039,0.000247192,0.000247192,0.000247192
80,16053,1.76951,1.30462,0.92355,0.69631,0.62397,0.59319,0.2063,1.97216,1.40886,0.95205,0.000227747,0.000227747,0.000227747
81,16136.4,1.75656,1.28906,0.91657,0.69627,0.62808,0.58946,0.2047,1.99003,1.39518,0.954,0.000209073,0.000209073,0.000209073
82,16216.2,1.76313,1.30488,0.92313,0.69353,0.61479,0.57198,0.19631,2.01157,1.42294,0.96035,0.00019119,0.00019119,0.00019119
83,16304.7,1.7444,1.2717,0.90818,0.70099,0.63074,0.59148,0.2053,1.99208,1.39596,0.95451,0.000174115,0.000174115,0.000174115
84,16382.8,1.73882,1.26897,0.91612,0.69486,0.62846,0.5855,0.2028,1.99808,1.39358,0.95682,0.000157865,0.000157865,0.000157865
85,16461,1.74463,1.25842,0.90901,0.70477,0.63122,0.59056,0.20473,1.99092,1.39369,0.95638,0.000142456,0.000142456,0.000142456
86,16538.2,1.75124,1.2433,0.90616,0.69343,0.62806,0.58429,0.20076,2.01164,1.38338,0.95896,0.000127904,0.000127904,0.000127904
87,16617.8,1.74118,1.2542,0.91414,0.69193,0.62784,0.5869,0.20016,2.00648,1.3889,0.95771,0.000114221,0.000114221,0.000114221
88,16676.5,1.73797,1.2545,0.91112,0.69448,0.63116,0.57842,0.20211,2.00089,1.39365,0.95842,0.000101423,0.000101423,0.000101423
89,16754.2,1.72137,1.23799,0.91083,0.70027,0.62881,0.59072,0.2044,1.99353,1.38534,0.95572,8.95213e-05,8.95213e-05,8.95213e-05
90,16850.5,1.71678,1.24229,0.91146,0.69492,0.62259,0.57885,0.20031,2.00038,1.3951,0.95747,7.8528e-05,7.8528e-05,7.8528e-05
91,16934.4,1.73737,1.2301,0.90332,0.69341,0.63098,0.58475,0.20259,2.00006,1.38751,0.95691,6.8454e-05,6.8454e-05,6.8454e-05
92,17004.5,1.69735,1.24471,0.91751,0.69802,0.63512,0.58753,0.20212,2.0024,1.38559,0.95748,5.93093e-05,5.93093e-05,5.93093e-05
93,17092,1.69399,1.23593,0.9132,0.69876,0.63606,0.58932,0.20166,2.00138,1.38636,0.95713,5.11027e-05,5.11027e-05,5.11027e-05
94,17160.1,1.69426,1.22953,0.90971,0.68805,0.62897,0.57822,0.19863,2.00324,1.39463,0.95755,4.38424e-05,4.38424e-05,4.38424e-05
95,17227.6,1.69525,1.22132,0.91247,0.68939,0.63185,0.57904,0.19899,2.00807,1.38717,0.9594,3.75356e-05,3.75356e-05,3.75356e-05
96,17296.7,1.69555,1.21625,0.91284,0.68974,0.63501,0.58267,0.19949,2.02096,1.38122,0.96188,3.21885e-05,3.21885e-05,3.21885e-05
97,17362.7,1.7003,1.21875,0.90908,0.69346,0.63527,0.58766,0.20107,2.00799,1.38089,0.95882,2.78064e-05,2.78064e-05,2.78064e-05
98,17458.4,1.69525,1.22028,0.90872,0.69119,0.63026,0.58084,0.20013,2.01357,1.38816,0.9594,2.43937e-05,2.43937e-05,2.43937e-05
99,17550.3,1.6898,1.22594,0.91489,0.69099,0.63533,0.58599,0.20093,2.01919,1.38645,0.96106,2.19535e-05,2.19535e-05,2.19535e-05
100,17637.3,1.69224,1.21025,0.90836,0.69386,0.63865,0.58926,0.20259,2.0155,1.37977,0.96054,2.04885e-05,2.04885e-05,2.04885e-05
