epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.844,3.69274,2.21085,1.09756,0.38239,0.56514,0.33463,0.09489,2.65198,2.54895,0.82474,0.000654321,0.000654321,0.000654321
2,30.9015,2.89843,1.47683,0.80542,0.10556,0.4123,0.04841,0.00767,3.56268,2.91067,1.02492,0.00132076,0.00132076,0.00132076
3,44.2814,2.81578,1.44469,0.78902,0.09472,0.38466,0.03806,0.00699,3.45746,2.23677,0.93224,0.00198631,0.00198631,0.00198631
4,57.4284,2.68861,1.44644,0.77835,0.58981,0.55838,0.48737,0.1467,2.48412,1.4267,0.785,0.00199695,0.00199695,0.00199695
5,70.3524,2.63345,1.3981,0.77961,0.47854,0.51156,0.39827,0.11539,2.48629,1.46473,0.78701,0.00199458,0.00199458,0.00199458
6,83.1648,2.62229,1.39376,0.77112,0.55712,0.55584,0.49344,0.14798,2.66215,1.34776,0.79532,0.00199153,0.00199153,0.00199153
7,96.2731,2.57709,1.36305,0.77056,0.4911,0.49295,0.39385,0.11011,2.50607,1.49765,0.78998,0.00198781,0.00198781,0.00198781
8,109.071,2.57063,1.41973,0.78069,0.59268,0.5671,0.52941,0.1728,2.29499,1.35894,0.77266,0.00198342,0.00198342,0.00198342
9,122.006,2.5638,1.34239,0.7612,0.57672,0.54738,0.4874,0.15551,2.32394,1.38023,0.77035,0.00197837,0.00197837,0.00197837
10,135.036,2.55315,1.36203,0.7658,0.5577,0.57812,0.53979,0.18014,2.27976,1.36607,0.77073,0.00197265,0.00197265,0.00197265
11,147.942,2.53784,1.36662,0.77082,0.61702,0.58601,0.55186,0.18038,2.25548,1.34993,0.76601,0.00196627,0.00196627,0.00196627
12,160.776,2.53031,1.34127,0.76777,0.42463,0.5276,0.36853,0.09923,2.67544,1.46975,0.79222,0.00195923,0.00195923,0.00195923
13,173.619,2.4897,1.34983,0.75994,0.5147,0.53102,0.44397,0.13793,2.33222,1.42664,0.76272,0.00195155,0.00195155,0.00195155
14,186.521,2.50153,1.35182,0.76537,0.56714,0.58037,0.52541,0.1733,2.26972,1.34201,0.76219,0.00194322,0.00194322,0.00194322
15,199.262,2.50995,1.31304,0.76054,0.63362,0.57163,0.53748,0.18003,2.23884,1.34048,0.76135,0.00193424,0.00193424,0.00193424
16,212.006,2.48171,1.32312,0.76049,0.59506,0.5582,0.50444,0.16428,2.3031,1.38456,0.76894,0.00192464,0.00192464,0.00192464
17,224.783,2.44268,1.29863,0.76512,0.54957,0.54625,0.47988,0.15267,2.29291,1.3693,0.76739,0.00191441,0.00191441,0.00191441
18,237.753,2.45191,1.31967,0.76676,0.63288,0.58263,0.55571,0.18721,2.22192,1.32477,0.76461,0.00190356,0.00190356,0.00190356
19,250.536,2.41439,1.28681,0.75729,0.62108,0.57179,0.56292,0.18538,2.27189,1.33319,0.76697,0.0018921,0.0018921,0.0018921
20,263.229,2.41709,1.30814,0.76377,0.53282,0.5203,0.45495,0.14818,2.33576,1.39927,0.77021,0.00188003,0.00188003,0.00188003
21,276.031,2.45129,1.27947,0.7493,0.64926,0.59024,0.56149,0.19111,2.23701,1.33274,0.76245,0.00186737,0.00186737,0.00186737
22,289.029,2.37037,1.2738,0.75927,0.56317,0.5392,0.49578,0.16455,2.30101,1.34548,0.7708,0.00185411,0.00185411,0.00185411
23,301.925,2.40537,1.30695,0.75702,0.51467,0.53497,0.44797,0.1396,2.32763,1.43064,0.77373,0.00184028,0.00184028,0.00184028
24,314.668,2.36072,1.2992,0.76132,0.58401,0.5674,0.50037,0.15918,2.28097,1.36276,0.77076,0.00182588,0.00182588,0.00182588
25,327.592,2.4223,1.27938,0.75396,0.59392,0.58263,0.53754,0.1809,2.22198,1.35386,0.76352,0.00181093,0.00181093,0.00181093
26,340.532,2.44378,1.29132,0.75418,0.49458,0.5564,0.45177,0.11835,2.66362,1.36533,0.7865,0.00179542,0.00179542,0.00179542
27,353.291,2.4363,1.32438,0.75772,0.53258,0.53356,0.45028,0.13757,2.40433,1.38388,0.77003,0.00177937,0.00177937,0.00177937
28,366.152,2.41083,1.2593,0.75301,0.60393,0.556,0.54619,0.17963,2.37084,1.31033,0.76797,0.0017628,0.0017628,0.0017628
29,379.001,2.40224,1.26657,0.75247,0.68052,0.58929,0.5869,0.16789,2.60939,1.25048,0.783,0.00174571,0.00174571,0.00174571
30,391.864,2.41644,1.25133,0.75002,0.60759,0.56345,0.53098,0.17849,2.24432,1.32676,0.75999,0.00172812,0.00172812,0.00172812
31,404.73,2.38609,1.271,0.74773,0.66159,0.5925,0.5769,0.19443,2.19175,1.30215,0.76147,0.00171004,0.00171004,0.00171004
32,417.577,2.37757,1.2579,0.75095,0.64018,0.5735,0.55518,0.1821,2.23548,1.32306,0.76416,0.00169147,0.00169147,0.00169147
33,430.573,2.38696,1.24436,0.74517,0.66321,0.59977,0.57853,0.1983,2.22774,1.26989,0.75664,0.00167244,0.00167244,0.00167244
34,443.458,2.33465,1.24442,0.75277,0.62014,0.58148,0.53712,0.17786,2.21192,1.33647,0.76409,0.00165295,0.00165295,0.00165295
35,456.171,2.38651,1.28063,0.75381,0.60781,0.58085,0.5294,0.1688,2.23309,1.36171,0.76976,0.00163303,0.00163303,0.00163303
36,468.803,2.36275,1.27348,0.7575,0.65496,0.5594,0.54033,0.18204,2.24846,1.30268,0.75861,0.00161267,0.00161267,0.00161267
37,481.604,2.32764,1.25164,0.75452,0.61503,0.56176,0.51757,0.15066,2.452,1.35102,0.78616,0.00159191,0.00159191,0.00159191
38,494.412,2.39114,1.24419,0.75083,0.56504,0.5392,0.49419,0.16462,2.26984,1.36018,0.76517,0.00157074,0.00157074,0.00157074
39,507.209,2.3199,1.2367,0.75084,0.66536,0.59605,0.58787,0.19608,2.18919,1.27939,0.75607,0.00154919,0.00154919,0.00154919
40,520.031,2.32091,1.21829,0.74481,0.65597,0.58517,0.56566,0.19384,2.18695,1.2847,0.75989,0.00152727,0.00152727,0.00152727
41,532.869,2.32355,1.22525,0.74732,0.62516,0.57417,0.55531,0.18691,2.21627,1.31189,0.75956,0.001505,0.001505,0.001505
42,545.578,2.34521,1.25163,0.75357,0.64571,0.56793,0.54133,0.17778,2.2313,1.30376,0.75914,0.00148239,0.00148239,0.00148239
