epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.656,2.54617,1.61092,1.12848,0.80785,0.73359,0.76955,0.28907,2.67566,1.34155,1.17199,0.000661064,0.000661064,0.000661064
2,686.008,1.99852,1.18924,0.94713,0.81957,0.76132,0.79785,0.36352,1.98474,1.18208,0.9661,0.00132765,0.00132765,0.00132765
3,1002.22,2.12244,1.2368,0.96194,0.80208,0.7009,0.75108,0.29676,2.35853,1.31302,1.07956,0.00199391,0.00199391,0.00199391
4,1323.81,1.95305,1.18437,0.93607,0.8256,0.73036,0.81115,0.39622,1.85236,1.23025,0.9507,0.0019989,0.0019989,0.0019989
5,1645.52,1.93122,1.13856,0.92882,0.80453,0.77828,0.80198,0.37755,2.01289,1.13239,0.97465,0.00199805,0.00199805,0.00199805
6,1966.52,1.85797,1.08031,0.91886,0.80692,0.70509,0.747,0.31847,2.06482,1.26693,0.9978,0.00199695,0.00199695,0.00199695
7,2287.44,1.8274,1.07297,0.91458,0.82999,0.79414,0.8454,0.45104,1.84514,1.0933,0.95743,0.00199561,0.00199561,0.00199561
8,2606.53,1.86482,1.10817,0.91793,0.81768,0.78211,0.8075,0.33762,2.36235,1.14848,1.08141,0.00199402,0.00199402,0.00199402
9,2943.29,1.79653,1.04085,0.90904,0.82275,0.80569,0.82792,0.42502,1.84701,1.08653,0.95747,0.00199219,0.00199219,0.00199219
10,3283.87,1.79361,1.02513,0.91007,0.82601,0.75005,0.81988,0.42069,1.86257,1.14217,0.95386,0.00199012,0.00199012,0.00199012
11,3607.57,1.78159,1.03959,0.90549,0.81903,0.79823,0.84912,0.43643,1.8654,1.0651,0.95273,0.00198781,0.00198781,0.00198781
12,3942.21,1.79929,1.01484,0.89856,0.835,0.78077,0.81519,0.42491,1.82013,1.09261,0.9523,0.00198526,0.00198526,0.00198526
13,4277.63,1.72711,1.01516,0.89508,0.81931,0.81488,0.84807,0.4677,1.75989,1.03083,0.94117,0.00198246,0.00198246,0.00198246
14,4593.57,1.68486,0.96991,0.8938,0.85351,0.80646,0.86405,0.49706,1.64844,1.00505,0.91196,0.00197943,0.00197943,0.00197943
15,4930.92,1.68295,0.97208,0.8911,0.83628,0.81018,0.86193,0.48635,1.66285,1.02108,0.91353,0.00197616,0.00197616,0.00197616
16,5240.94,1.66164,0.9491,0.89201,0.85745,0.81551,0.87438,0.50781,1.67187,0.98214,0.91646,0.00197265,0.00197265,0.00197265
17,5565.64,1.65548,0.94357,0.88502,0.85319,0.80649,0.86817,0.49606,1.62573,1.01451,0.90747,0.0019689,0.0019689,0.0019689
18,5908.67,1.69035,0.95734,0.89008,0.83464,0.79125,0.8556,0.47201,1.68501,1.04582,0.91222,0.00196491,0.00196491,0.00196491
19,6235.94,1.63437,0.92575,0.87975,0.83049,0.82261,0.86532,0.49727,1.69532,0.98523,0.91561,0.00196069,0.00196069,0.00196069
20,6581.96,1.58738,0.91582,0.87946,0.83756,0.80482,0.86495,0.52363,1.52026,1.01307,0.88976,0.00195624,0.00195624,0.00195624
21,6900.89,1.56344,0.89289,0.87723,0.83767,0.80316,0.85649,0.48854,1.6407,1.02949,0.90986,0.00195155,0.00195155,0.00195155
22,7218.03,1.61247,0.91696,0.88233,0.84416,0.81131,0.86925,0.52057,1.55567,0.99644,0.89128,0.00194662,0.00194662,0.00194662
23,7542.41,1.57828,0.89588,0.87331,0.82826,0.8101,0.85293,0.48953,1.7047,0.99164,0.9244,0.00194147,0.00194147,0.00194147
24,7876.63,1.60634,0.89978,0.87404,0.85024,0.80126,0.86859,0.5142,1.62159,0.98658,0.90975,0.00193609,0.00193609,0.00193609
25,8205.9,1.56662,0.87583,0.87241,0.84488,0.82164,0.87247,0.52354,1.55106,0.98523,0.89327,0.00193048,0.00193048,0.00193048
26,8521.51,1.58364,0.89149,0.87641,0.81835,0.81993,0.84484,0.43762,1.9389,1.01235,0.97864,0.00192464,0.00192464,0.00192464
27,8844.68,1.54387,0.87194,0.86784,0.84687,0.81886,0.87156,0.5102,1.62862,0.96413,0.91036,0.00191858,0.00191858,0.00191858
28,9160.45,1.5401,0.85425,0.87059,0.83574,0.81623,0.86348,0.50832,1.62347,0.98037,0.9054,0.00191229,0.00191229,0.00191229
29,9487.84,1.56312,0.87351,0.86607,0.86005,0.81912,0.87515,0.53145,1.51778,0.94304,0.88824,0.00190578,0.00190578,0.00190578
